REFACTOR,RECODE,REENGINEER,REWRIT,EDIT,ADD,CHANG,CREAT,EXTEND,EXTRACT,FIX,IMPROV,INLIN,INTRODUC,MERG,MOV,REPACKAG,REDESIGN,REDUC,REFIN,REMOV,RENAM,REORGANIZ,REPLAC,RESTRUCTUR,SPLIT,CHANGTHENAME,CLEANUPCODE,CLEANUP,CODECLEAN,CODEOPTIMIZATION,FIXCODESTYLE,IMPROVCODEQUALITY,PULLUP,PUSHDOWN,SIMPLIFYCODE
4.284727021,0.051831375,0.051831375,0.03455425,2.574291638,0.345542502,25.67380788,7.515549413,9.623358673,3.213545266,3.05805114,6.288873531,6.738078784,0.501036628,1.779543884,2.228749136,3.697304768,0.017277125,0.172771251,2.297857636,0.362819627,9.847961299,2.03870076,0.086385625,3.524533518,1.606772633,0.051831375,0.0691085,1.226675881,0.224602626,0.017277125,0.103662751,0.03455425,0.120939876,0.414651002,0.120939876
248,3,3,2,149,20,1486,435,557,186,177,364,390,29,103,129,214,1,10,133,21,570,118,5,204,93,3,4,71,13,1,6,2,7,24,7
