Lemma,Number of occurrences
evaluations,4
1357353,0
Revert,67
regressions,5
1459171,0
creation,99
Piotr,2
Wydrych,0
MATH-942,1
1454840,0
MATH-740,0
Grabbing,0
percents,0
log,232
1369506,0
extracted,15
testSubVectorInvalidIndex1,0
testSubVectorInvalidIndex2,0
testSubVectorInvalidIndex3,0
testSubVectorInvalidIndex4,0
RealVectorAbstractTest.testDataInOut,0
revealed,1
positivity,0
elements,49
checked,51
RealVector.getSubVector,0
corrected,3
NotPositiveException,0
thrown,58
corresponding,45
message,258
LocalizedFormats,1
1347883,0
Benjamin,2
patch,774
2009-09-07,0
MATH-286,2
812390,0
1459081,0
Discrete,0
Distribution,2
Enumerated,0
precise,6
1456769,0
MATH-887,2
computeJacobian,0
computeWeightedJacobian,0
relect,0
done,132
setCost,1
modified,127
according,25
optimum,0
found,81
subclass,21
doOptimize,0
1407478,0
MATH-867,0
Previous,6
commit,1077
missing,166
crucial,1
modification,29
repair,2
inconsistency,13
entailed,0
failing,100
Nikolaus,0
Hansen,0
established,4
encode,3
decode,6
steps,20
indeed,0
useless,7
thus,63
removes,39
Finite,0
infinite,14
freely,0
mixed,14
Unit,42
depended,9
limitations,5
removed,209
MATH-865,0
1391908,0
leading,28
simplex,0
solver,4
compute,9
right,58
solution,27
another,75
806753,0
Replaced,24
calls,142
ResizeableDoubleArray,1
Created,26
access,167
object,192
internal,103
1409509,0
UnivariateStatistic,0
extend,42
MathArrays.Function,0
subclassing,3
functionality,84
1410126,0
fields,113
take,92
arguments,47
operate,16
call,177
direct,20
assignment,16
1407010,0
MATH-933,0
simple,73
bounds,43
Changing,23
visibility,14
parseOptimizationData,0
parent,76
parse,47
providing,25
flexibility,7
able,62
options,72
parsing,99
step,33
1443444,0
MATH-778,0
Allow,137
unlimited,2
Dfp,0
multiply,2
1400671,0
reallocation,0
clear,26
1408735,0
First,18
enhance,6
encapsulation,5
goal,6
remove,277
MATH-874,0
explicit,21
loops,10
operations,164
Disabled,3
pass,108
anymore,25
1406010,0
MATH-474,0
merge,212
Dan,10
Checkoway,1
1400683,0
RandomDataImpl,4
RandomData,0
nextInversionDeviate,0
Ensured,1
nextXxx,0
RandomDataImpl/RandomDataGenerator,0
configured,30
MATH-850,0
1375192,0
MATH-786,1
caching,30
hash,44
User,28
expected,55
change,416
pair,9
contents,14
cached,29
1336458,1
MATH-738,0
implementation,270
Beta.logBeta,1
NSWC,0
library,18
mathematical,0
functions,95
increased,10
accuracy,7
deprecation,17
longer,98
iterative,1
reflection,21
1415853,0
Corrected,17
build,83
failures,62
caused,60
r1358046,0
ArrayRealVector.equals,0
Object,77
RealVector,15
default,273
implementations,74
equals,23
hashCode,6
throw,58
UnsupportedOperationException,5
force,18
1358048,0
factoring,1
testPredicates,0
1346240,0
ChiSquareTest,0
MathException,3
MATH-488,1
MATH-739,1
1243286,0
testCombineToSelfPreconditionSameType,0
testCombineToSelfSameType,0
testCombineToSelfPreconditionMixeType,0
testCombineToSelfMixedTypes,0
1346723,0
Name,10
contractionCriterion,0
1410657,0
MATH-574,1
outer,23
product,9
vectors,16
different,137
sizes,32
1102704,0
testDataInOut,0
1344571,0
minimal,9
ArrayRealVectorTest.RealVectorTestImpl,0
RealVectorAbstractTest.RealVectorTestImpl,1
RealVectorTest,4
ArrayRealVectorTest,0
1358334,0
MATH-775,0
getChromosomeList,0
list,206
1311321,0
SparseRealVectorTest,1
1358338,0
o.a.c.m3.linear.SymmLQ,1
MATH-771,3
1306135,0
Reverting,6
performed,31
could,94
source,118
inconsistent,29
behaviour,20
lacking,4
proof,0
gain,8
worth,1
r1336458,0
retained,4
1336958,0
MATH-855,0
best,21
point,38
sometimes,44
last,114
evaluated,15
1381195,0
1369415,0
rank,1
dependant,6
columns,219
additional,110
repaces,0
small,81
parameter,161
1384945,0
enum,36
represent,9
expansion,15
mode,160
contructor,3
old,122
representation,17
1408797,0
G-test,0
names,192
follow,28
conventions,5
inference,4
MATH-878,0
1408172,0
cleaned-up,0
testSparseIterator,0
1358343,0
o.a.c.m3.optimization.general.AbstractLeastSquaresOptimizer,0
guessParametersErrors,0
getSigma,0
strictly,1
equivalent,15
MATH-784,0
1334315,0
testCosine,0
1346471,0
Widened,0
scope,24
transform.FastCosineTransformer,0
1234136,0
TTest,0
1243304,0
RealVectorAbstractTest,4
RealVector.combine,0
RealVector.combineToSelf,0
1356070,0
RealVectorAbstractTest.createAlien,1
1358339,0
MATH-838,0
1369202,0
MATH-834,0
various,54
sample,15
1368738,0
redundant,31
1358046,0
MATH-804,0
Parameterized,0
CurveFitter,0
fitting,1
PolynomialFitter,1
HarmonicFitter,1
GaussianFitter,1
1348613,0
Inlined,1
transform.FastFourierTransformer.verifyDataSet,1
improve,132
readability,20
Related,8
1227470,0
Factored,4
testSerial,0
vector,19
returned,59
really,39
RealVectorTest.TestVectorImpl,1
causes,52
skipped,11
time,303
overriden,2
without,193
Test,77
annotation,15
split,82
smaller,17
make,267
sense,14
present,34
makes,89
defensive,4
copy,52
specified,74
Javadoc,29
RealVectorAbstractTest.create,0
1346243,0
MATH-689,12
Implemented,31
copySign,1
integral,1
types,190
indicator,6
floating,2
FastMathTest,0
FastMath,6
1206274,0
RealVector.cosine,0
1358033,0
MATH-664,0
singularity,0
threshold,14
getCovariances,0
1167612,0
Method,13
MathUtils,7
1188949,0
utilities,14
1182134,0
solvers/integrators,0
integrand,0
integrate,5
construction,24
allowing,28
reuse,34
integrator,0
Jira,135
MATH-218,1
735545,0
cleanup,166
unused,178
variables,48
imports,24
1358049,0
testCosinePrecondition1,0
testCosinePrecondition2,0
testCosinePrecondition3,0
1346475,0
EigenDecomposition,2
EigenDecompositionImpl,2
1173965,0
camelCase,0
1208293,0
MATH-428,0
1030885,0
AbstractRealDistribution,0
1369381,0
splitted,1
RealVector.setEntry,0
RealVector.addToEntry,0
1347401,0
testOuterProduct,0
testMisc,0
1345837,0
testMinMax,0
1346467,0
MATH-653,2
AbstracRealVector,0
getting,112
rid,23
SparseRealVector,0
abstract,26
extends,38
implements,53
name,428
AbstractRealVectorTest,0
Slightly,0
UnmodifiableRealVectorAbstractTest,0
exclude,8
inherited,2
unmodifiable,0
view,97
1162511,0
testAddToEntry,0
1346245,0
MATH-812,0
bug,184
RealVector.outerProduct,0
entries,54
1360668,0
MATH-783,0
stopping,8
criterion,0
domain,3
BrentOptimizer,0
1330739,0
getAlpha,0
getShape,0
getBeta,0
getScale,0
1342404,0
specific,84
entry,49
Generalized,4
1354329,0
Percentile,1
selection,52
complete,58
sort,33
pivots,1
several,54
percentiles,1
desired,23
MATH-417,1
1006301,0
taking,14
1162800,0
MATH-697,1
optimize,53
passing,18
1190556,0
o.a.c.m3.linear.PreconditionedIterativeLinearSolver,0
1305738,0
ArithmeticsUtils,3
1182213,0
distribution.FastCosineTransformer,0
replaced,31
transform2,1
inverseTransform2,1
createOrthogonal,1
1212262,0
o.a.c.m.transform.FastFourierTransformer,0
Normalization,1
STANDARD,0
UNITARY,0
createUnitary,0
transformInPlace,0
MATH-732,0
1242230,0
testCombinePreconditionSameType,0
testCombineSameType,0
testCombinePreconditionMixedType,0
testCombineMixedTypes,0
1346523,0
MATH-485,0
KalmanFilter,0
related,134
updated,168
Thomas,25
Neidhart,0
comments,325
1138461,0
FieldElement,0
implementing,25
Solves,3
MATH-684,0
1178715,0
bis,0
1306150,0
Formatting,3
1208944,0
1208295,0
MATH-698,0
CMAESOptimizer,0
BaseAbstractMultivariateSimpleBoundsOptimizer,0
original,68
mixing,3
finite,0
constraints,40
incompatibility,1
throwing,20
MathUnsuppportedException,0
1290909,0
computeRoots,0
getOmegaReal,0
getReal,0
getOmegaImaginary,0
getImaginary,0
getNumberOfRoots,0
1238898,0
transform.FastFourierTransformer.scaleArray,1
Complex,4
newly,17
transform.TransformUtils,0
1227475,0
testBasicFunctions,0
1345443,0
solve,20
algebra,5
solvers,6
MATH-564,0
1097730,0
QRDecomposition,0
QRDecompositionImpl,0
1175100,0
Implementation,14
uniform,2
real,34
MATH-730,0
Patch,242
contributed,110
Dennis,1
Hendriks,1
1229042,0
round,13
Precision,2
1188915,0
1237544,0
non-zero,2
OpenMapRealVector,0
MATH-312,0
894093,0
Well,1
completes,8
MATH-701,0
reported,39
MATH-720,0
1213130,0
1102356,0
MATH-675,0
coverage,28
isMonotonic,0
1183119,0
1208309,0
o.a.c.m3.linear.ConjugateGradient,0
1306133,0
LUDecomposition,0
LUDecompositionImpl,0
1175099,0
MATH-617,0
Make,213
appear,11
formatted,6
output,191
1146755,0
preliminary,12
cleaning,15
solving,7
1173964,0
transform,12
FastFourierTransformer.transform2,0
FastFourierTransformer.inverseTransform2,0
combination,5
/inverseTransform,0
combined,10
appropriate,145
1211318,0
transform.FastSineTransformer,0
1213157,0
SAFE_MIN,0
EPSILON,0
Committing,11
behalf,20
erans,0
1189593,0
MATH-521,0
initial,96
guess,11
1073796,0
localized,0
messages,163
genetics,0
final,83
parameters,123
MATH-575,0
1235038,0
1173475,0
Finished,1
1182658,0
transform.FastFourierTransformer.sample,0
UnivariateFunction,1
analysis.FunctionUtils.sample,0
1227468,0
RectangularCholeskyDecomposition,0
RectangularCholeskyDecompositionImpl,0
1175105,0
ArithmeticUtils,1
1182787,0
FieldLUDecomposition,0
FieldLUDecompositionImpl,0
1174537,0
MATH-500,2
Temporarily,3
ConvergingAlgorithm,2
ConvergingAlgorithmImpl,2
analysis.integration,1
MATH-501,1
1062707,1
unconstrained,0
1202140,0
Refactored,49
RandomGeneratorAbstractTest,3
collecting,3
stock,0
running,110
RandomDataTest,0
cases,238
RandomDataImpls,0
constructed,12
generators,2
BitsStreamGeneratorTest,0
extending,19
BitStreamGenerator,0
Mersenne,0
discovering,2
MATH-640,0
AbstractRandomGeneratorTest,0
making,50
seeds,0
1153257,0
ComplexUtils,0
MATH-171,0
Reported,7
patched,14
Niall,0
Pemberton,0
596159,0
1084690,0
MATH-491,0
DimensionMismatchException,0
unchecked,7
1061839,0
MATH-515,0
copyOf,0
1071596,0
pow,4
1206199,0
MATH-551,0
MathRuntimeException,5
SerializablePair,0
become,8
1086045,0
density,3
remaining,23
continuous,9
Weibull,1
Cauchy,1
HasDensity,1
Brent,1
Solver,1
inverse,1
cum,1
absolute,11
configurable,33
MATH-332,1
MATH-282,1
Mikkel,1
Meyer,3
Andersen,1
924362,1
ArithmeticsUtilsTest,1
MathUtilsTest,0
1182215,0
1182147,0
1182137,0
positive,5
semidefinite,0
matrices,28
MATH-541,0
1096496,0
whenever,9
exists,27
takes,32
subtract,0
1162629,0
compareTo,1
1181282,0
MATH-663,0
getData,1
toArray,2
1166629,0
MATH-544,0
Matrix,7
back,112
import,76
statements,72
upgraded,17
JUnit,46
MATH-423,2
1079350,0
MATH-394,1
MATH-397,1
MATH-404,1
Overhaul,1
optimization,46
lots,9
referring,1
concept,15
iteration,10
gradient,1
references,86
OptimizationException,1
ConvergenceException,1
990792,1
applied,70
2009-09-08,0
warning,39
update,405
SimplexTableauTest.testdiscardArtificialVariables,0
812831,0
MATH-447,2
MathUserException,0
shares,4
former,6
1040818,0
nextInt,1
BitsStreamGenerator,1
MATH-642,0
1154815,0
Bill,30
sinh,1
cosh,1
tanh,1
MATH-375,5
1004044,0
MATH-451,0
passed,93
setMaxEvaluations,0
accessor,7
1042151,0
SingularValueDecomposition,0
SingularValueDecompositionImpl,0
1175108,0
fast,12
cubic,1
root,34
996172,0
MATH-413,3
Moving,13
interfaces,42
999948,0
Issues,20
//issues.apache.org/jira/browse/MATH-348,0
//issues.apache.org/jira/browse/MATH-349,0
920852,0
points,28
Reverted,9
convergence,1
checker,7
previous,74
LevenberMarquardtOptimizer,0
setters,4
control,57
must,67
992976,0
MATH-424,0
Safe,1
handling,254
1003606,0
multiple,211
regression,53
newSample,1
ensure,129
models,9
estimated,11
intercept,8
terms,11
Prior,9
issue,406
newXSampleData,1
newSampleData,5
inserted,23
term,14
including,56
requiring,6
unitary,3
column,330
eliminate,13
need,301
users,116
add,631
MATH-411,1
993574,1
MATH-401,0
NullArgumentException,0
MathIllegalArgumentException,0
occurrences,4
createIllegalArgumentException,0
MathRuntime,0
null,229
allowed,32
BigFraction.java,0
Simplified,5
ZeroNotAllowedException,0
ZeroException,0
982950,0
MATH-512,0
Ole,1
Ersoy,0
1072056,0
MATH-517,0
include,70
HarmonicCoefficientsGuesser,0
HarmonicOscillator,0
analysis.function,0
HarmonicFunction,0
optimization.fitting,0
1073378,0
results,148
Loess,0
interpolator,1
weights,3
MATH-296,0
818942,0
preconditioner,0
1164044,0
MATH-482,1
FastMath.max,1
50.0f,1
-50.0f,3
+50.0f,1
1060060,0
MATH-365,0
936295,0
FastMath.scalb,3
MathUtils.scalb,1
MATH-498,1
1062550,0
inherit,11
relied,1
catching,7
standard,44
Java,124
e.g,45
MathIllegalArgumentEception,1
IllegalArgumentEception,1
MATH-459,1
1044186,1
MathUtils.distance,0
causing,56
